raw,nemo,number_parser,raw_indic_conformer,raw_google_speech,raw_slang_google_speech,nemo_indic_conformer,nemo_google_speech,nemo_slang_google_speech,np_indic_conformer,np_google_speech,np_slang_google_speech
"i would like to see my balance ,i would like to see my balance","i would like to see my balance,i would like to see my balance","i would like to see my balance,i would like to see my balance",i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance
"i would like to view my transaction history ,i would like to view my transaction history","i would like to view my transaction history,i would like to view my transaction history","i would like to view my transaction history,i would like to view my transaction history",i would like to view my transaction history,i would like to view my transaction history,i would like to view my transaction history,i would like to view my transaction history,i would like to view my transaction history,i would like to view my transaction history,i would like to view my transaction history,i would like to view my transaction history,i would like to view my transaction history
"three four zero zero ha,3400 ha","3400 ha,3400 ha","3400 ha,3400 ha",three four zer zero,3400,3400,three four zer zero,3400,3400,34 zer 0,3400,3400
"show offers related to credit card ,show offers related to credit card","show offers related to credit card,show offers related to credit card","show offers related to credit card,show offers related to credit card",show offers related to credit card,show office related to credit card,show office related to credit card,show offers related to credit card,show office related to credit card,show office related to credit card,show offers related to credit card,show office related to credit card,show office related to credit card
"scan and pay for milk twenty one rupees ,scan and pay for milk twenty one rupees","scan and pay for milk rs21,scan and pay for milk rs21","scan and pay for milk 21 rupees,scan and pay for milk 21 rupees",cacannon pay for milk twentyone rupees,canopy for milk 21 rupees,canopy for milk 21 rupees,cacannon pay for milk rs21,canopy for milk 21 rupees,canopy for milk 21 rupees,cacannon pay for milk twentyone rupees,canopy for milk 21 rupees,canopy for milk 21 rupees
"ask sourab to send me back fifteen hundred rupees ,ask sourab to send me back 1500 rupees","ask sourab to send me back rs1500,ask sourab to send me back 1500 rupees","ask sourab to send me back 1500 rupees,ask sourab to send me back 1500 rupees",ask surup to send me back fift hundred rupees,aaj saurabh to send me back 1500 rupees,aaj saurabh to send me back 1500 rupees,ask surup to send me back fift hundred rupees,aaj saurabh to send me back 1500 rupees,aaj saurabh to send me back 1500 rupees,ask surup to send me back fift 100 rupees,aaj saurabh to send me back 1500 rupees,aaj saurabh to send me back 1500 rupees
"request two hundred rupees from shikha ,request 200 rupees from shikha","request rs200 from shikha,request 200 rupees from shikha","request 200 rupees from shikha,request 200 rupees from shikha",the request two hundred and fifty rupees from s,request 250 rupees,request 250 rupees,the request rs250 from s,request 250 rupees,request 250 rupees,the request 250 rupees from s,request 250 rupees,request 250 rupees
"send two not five rupees to abhay,send 205 rupees to abhay","send two not rs5 to abhay,send 205 rupees to abhay","send 205 rupees to abhay,send 205 rupees to abhay",send two dred five rupees to a biy,send 25 rupees to a bi,send 25 rupees to a bi,send two dred rs5 to a biy,send 25 rupees to a bi,send 25 rupees to a bi,send 2 dred 5 rupees to a biy,send 25 rupees to a bi,send 25 rupees to a bi
"please open the QR scanner of thousand rupees,please open the qr scanner of 1000 rupees","please open the qr scanner of thousand rupees,please open the qr scanner of 1000 rupees","please open the qr scanner of 1000 rupees,please open the qr scanner of 1000 rupees",please open the qer scanner of thousand rupees,please open the qr scanner of thousand rupees,please open the qr scanner of thousand rupees,please open the qer scanner of thousand rupees,please open the qr scanner of thousand rupees,please open the qr scanner of thousand rupees,please open the qer scanner of 1000 rupees,please open the qr scanner of 1000 rupees,please open the qr scanner of 1000 rupees
"send three hundred to vijay ,send 300 to vijay","send 300 to vijay,send 300 to vijay","send 300 to vijay,send 300 to vijay",send three hundred tw g,send 302 vijay,send 302 vijay,send 300 tw g,send 302 vijay,send 302 vijay,send 300 tw g,send 302 vijay,send 302 vijay
"how to approve the payment from swiggy ,how to approve the payment from swiggy","how to approve the payment from swiggy,how to approve the payment from swiggy","how to approve the payment from swiggy,how to approve the payment from swiggy",how to approve the payment from swigi,how to approve the payment from swiggy,how to approve the payment from swiggy,how to approve the payment from swigi,how to approve the payment from swiggy,how to approve the payment from swiggy,how to approve the payment from swigi,how to approve the payment from swiggy,how to approve the payment from swiggy
"please pay fifty k to ,please pay 50000 to","please pay 50 k to,please pay 50000 to","please pay 50000 to,please pay 50000 to",please pay  fifty,please pay 50k,please pay 50k,please pay 50,please pay 50k,please pay 50k,please pay  50,please pay 50000,please pay 50000
"request five thousand from ankitha ,request 5000 from ankitha","request 5000 from ankitha,request 5000 from ankitha","request 5000 from ankitha,request 5000 from ankitha",request five thousand from ankita,request 5000 from ankita,request 5000 from ankita,request 5000 from ankita,request 5000 from ankita,request 5000 from ankita,request 5000 from ankita,request 5000 from ankita,request 5000 from ankita
"approve rahul request of five hundred rupees,approve rahul request of 500 rupees","approve rahul request of rs500,approve rahul request of 500 rupees","approve rahul request of 500 rupees,approve rahul request of 500 rupees",approve rahls request of inder rupees,abro rahul's request of find rupees,abro rahul's request of find rupees,approve rahls request of inder rupees,abro rahul's request of find rupees,abro rahul's request of find rupees,approve rahls request of inder rupees,abro rahul's request of find rupees,abro rahul's request of find rupees
"please approve my current payments ,please approve my current payments","please approve my current payments,please approve my current payments","please approve my current payments,please approve my current payments",please approve my current payments,please approve my current payments,please approve my current payments,please approve my current payments,please approve my current payments,please approve my current payments,please approve my current payments,please approve my current payments,please approve my current payments
"request ten k as salary from ,request 10000 as salary from","request ten k as salary from,request 10000 as salary from","request 10000 as salary from,request 10000 as salary from",request ten ks salary from,request nks salary from,request nks salary from,request ten ks salary from,request nks salary from,request nks salary from,request 10 ks salary from,request nks salary from,request nks salary from
"make a payment through QR code ,make a payment through qr code","make a payment through qr code,make a payment through qr code","make a payment through qr code,make a payment through qr code",request ten ks salary from,request nks salary from,request nks salary from,request ten ks salary from,request nks salary from,request nks salary from,request 10 ks salary from,request nks salary from,request nks salary from
